disease,symptom
tuberculosis,loss of appetite
tuberculosis,mild fever
tuberculosis,yellowing of eyes
tuberculosis,swelled lymph nodes
tuberculosis,malaise
tuberculosis,phlegm
tuberculosis,chest pain
tuberculosis,blood in sputum
common cold,continuous sneezing
common cold,chills
common cold,fatigue
common cold,cough
common cold,high fever
common cold,headache
common cold,swelled lymph nodes
common cold,malaise
common cold,phlegm
common cold,throat irritation
common cold,redness of eyes
common cold,sinus pressure
common cold,runny nose
common cold,congestion
common cold,chest pain
common cold,loss of smell
common cold,muscle pain
pneumonia,chills
pneumonia,fatigue
pneumonia,cough
pneumonia,high fever
pneumonia,breathlessness
pneumonia,sweating
pneumonia,malaise
pneumonia,chest pain
pneumonia,fast heart rate
pneumonia,rusty sputum
pneumonia,phlegm
dimorphic hemmorhoids piles,constipation
dimorphic hemmorhoids piles,pain during bowel movements
dimorphic hemmorhoids piles,pain in anal region
dimorphic hemmorhoids piles,bloody stool
dimorphic hemmorhoids piles,irritation in anus
heart attack,vomiting
heart attack,breathlessness
heart attack,sweating
heart attack,chest pain
varicose veins,fatigue
varicose veins,cramps
varicose veins,bruising
varicose veins,obesity
varicose veins,swollen legs
varicose veins,swollen blood vessels
varicose veins,prominent veins on calf
hypothyroidism,fatigue
hypothyroidism,weight gain
hypothyroidism,cold hands and feets
hypothyroidism,mood swings
hypothyroidism,lethargy
hypothyroidism,dizziness
hypothyroidism,puffy face and eyes
hypothyroidism,enlarged thyroid
hypothyroidism,brittle nails
hypothyroidism,swollen extremeties
hypothyroidism,depression
hypothyroidism,irritability
hypothyroidism,abnormal menstruation
hyperthyroidism,fatigue
hyperthyroidism,mood swings
hyperthyroidism,weight loss
hyperthyroidism,restlessness
hyperthyroidism,sweating
hyperthyroidism,diarrhoea
hyperthyroidism,fast heart rate
hyperthyroidism,excessive hunger
hyperthyroidism,muscle weakness
hyperthyroidism,irritability
hyperthyroidism,abnormal menstruation
hypoglycemia,vomiting
hypoglycemia,fatigue
hypoglycemia,anxiety
hypoglycemia,sweating
hypoglycemia,headache
hypoglycemia,nausea
hypoglycemia,blurred and distorted vision
hypoglycemia,excessive hunger
hypoglycemia,slurred speech
hypoglycemia,irritability
hypoglycemia,palpitations
hypoglycemia,drying and tingling lips
osteoarthristis,joint pain
osteoarthristis,neck pain
osteoarthristis,knee pain
osteoarthristis,hip joint pain
osteoarthristis,swelling joints
osteoarthristis,painful walking
arthritis,muscle weakness
arthritis,stiff neck
arthritis,swelling joints
arthritis,movement stiffness
arthritis,painful walking
vertigo paroymsal positional vertigo,vomiting
vertigo paroymsal positional vertigo,headache
vertigo paroymsal positional vertigo,nausea
vertigo paroymsal positional vertigo,spinning movements
vertigo paroymsal positional vertigo,loss of balance
vertigo paroymsal positional vertigo,unsteadiness
acne,skin rash
acne,pus filled pimples
acne,blackheads
acne,scurring
urinary tract infection,burning micturition
urinary tract infection,bladder discomfort
urinary tract infection,foul smell of urine
urinary tract infection,continuous feel of urine
psoriasis,skin rash
psoriasis,joint pain
psoriasis,skin peeling
psoriasis,silver like dusting
psoriasis,small dents in nails
psoriasis,inflammatory nails
impetigo,skin rash
impetigo,high fever
impetigo,blister
impetigo,red sore around nose
impetigo,yellow crust ooze
